AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
11,4,10,0,0,0,badminton
18,7,9,0,0,-340,badminton
19,3,14,0,185,-391,badminton
19,-7,12,-364,389,-380,badminton
19,-6,-1,-437,565,0,badminton
15,0,-7,0,338,0,badminton
8,2,-11,0,0,0,badminton
14,2,-6,248,-176,0,badminton
19,-6,2,0,-352,0,badminton
19,-4,-1,295,-485,0,badminton
19,-5,-4,0,-596,322,badminton
19,-12,-6,0,-612,465,badminton
19,-16,-18,0,-526,608,badminton
19,-14,-7,0,-371,554,badminton
19,3,-2,0,0,437,badminton
13,9,3,0,0,276,badminton
6,19,5,0,0,0,badminton
6,13,5,0,0,0,badminton
7,1,0,0,0,-316,badminton
10,-9,-1,0,0,-389,badminton
15,-15,-3,0,0,-487,badminton
19,-19,0,0,0,-386,badminton
19,-16,0,0,0,-361,badminton
15,-18,5,0,0,-355,badminton
15,-14,1,0,166,-232,badminton
13,-11,1,0,0,-206,badminton
9,-10,1,0,0,0,badminton
9,-6,1,0,0,0,badminton
9,-3,2,0,0,0,badminton
8,-1,1,0,0,0,badminton
10,-3,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
11,-2,4,0,0,0,badminton
7,-2,3,0,0,0,badminton
8,-2,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
8,-2,3,0,0,0,badminton
9,-1,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
11,7,8,0,0,0,badminton
17,7,11,0,211,-256,badminton
19,2,18,0,238,-396,badminton
19,-5,3,-406,449,-510,badminton
18,-12,-1,-437,399,0,badminton
10,-1,-11,0,164,0,badminton
10,0,-7,0,0,0,badminton
14,-1,-4,0,-218,0,badminton
19,-3,0,342,-383,0,badminton
19,-4,3,0,-478,221,badminton
19,-7,0,0,-635,332,badminton
19,-5,-6,0,-618,319,badminton
19,-2,-17,0,-707,311,badminton
19,0,-3,0,-496,238,badminton
14,9,6,0,-242,0,badminton
7,13,12,0,0,0,badminton
6,8,10,0,0,0,badminton
5,2,2,0,263,0,badminton
10,-5,-4,0,322,-293,badminton
15,-13,-7,0,255,-332,badminton
15,-14,-6,0,143,-298,badminton
15,-18,-4,0,0,-261,badminton
12,-13,-5,0,0,-218,badminton
11,-14,-2,0,0,0,badminton
11,-13,-2,0,0,0,badminton
9,-13,-2,0,0,0,badminton
7,-9,0,0,0,0,badminton
9,-5,2,0,0,0,badminton
10,-4,2,0,0,0,badminton
10,-4,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
9,-2,4,0,0,0,badminton
8,0,3,0,0,0,badminton
9,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
9,-1,4,0,0,0,badminton
8,-1,3,0,0,0,badminton
10,-1,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
11,9,9,0,0,0,badminton
19,5,10,0,0,-324,badminton
19,0,15,0,190,-454,badminton
19,-8,6,-479,525,-340,badminton
19,-10,-5,-646,630,0,badminton
13,1,-8,0,163,0,badminton
9,5,-13,0,0,0,badminton
9,1,-6,0,0,0,badminton
16,-1,0,0,-241,0,badminton
19,-6,5,241,-408,0,badminton
19,-12,5,0,-441,235,badminton
19,-13,2,0,-601,374,badminton
19,-19,-9,0,-850,511,badminton
19,-16,-9,0,-606,496,badminton
19,2,-2,0,-212,370,badminton
14,7,5,0,-204,0,badminton
7,11,4,0,0,0,badminton
4,9,6,0,0,0,badminton
1,5,3,0,0,0,badminton
4,1,0,0,0,-286,badminton
11,-7,-3,0,0,-406,badminton
12,-19,-4,0,147,-298,badminton
11,-19,-2,0,0,-292,badminton
12,-15,-1,0,0,-287,badminton
16,-12,-1,0,0,-387,badminton
12,-14,0,0,0,-235,badminton
13,-10,1,0,0,-208,badminton
9,-8,0,0,0,0,badminton
9,-8,2,0,0,0,badminton
8,-5,1,0,0,0,badminton
12,-4,2,0,0,0,badminton
9,-2,3,0,0,0,badminton
8,0,3,0,0,0,badminton
10,0,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,0,4,0,0,0,badminton
8,-1,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-2,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
13,0,9,0,0,0,badminton
16,2,4,0,0,-275,badminton
19,0,12,0,0,-368,badminton
19,1,7,0,394,-359,badminton
19,0,-4,-532,675,-314,badminton
8,-7,-10,-278,438,0,badminton
9,-3,-8,311,0,0,badminton
10,-2,-6,0,-202,0,badminton
18,-4,-3,0,-288,0,badminton
19,-3,-4,0,-388,0,badminton
19,-8,-5,0,-505,288,badminton
19,-14,-13,0,-668,414,badminton
19,-19,-19,0,-710,480,badminton
19,-19,-19,264,-629,448,badminton
19,4,-1,398,-278,346,badminton
19,10,1,0,-182,289,badminton
8,11,1,0,0,0,badminton
5,18,9,0,0,0,badminton
6,8,4,0,0,-302,badminton
8,-2,-2,0,187,-326,badminton
10,-16,-6,0,0,-407,badminton
12,-19,-7,0,0,-374,badminton
13,-19,-4,0,0,-333,badminton
13,-18,-3,0,0,-287,badminton
7,-17,-3,0,140,0,badminton
7,-14,-6,0,190,0,badminton
8,-8,0,0,182,0,badminton
13,-7,0,0,0,0,badminton
10,-13,5,0,0,0,badminton
10,-8,2,0,0,0,badminton
8,-3,1,0,0,0,badminton
9,-2,1,0,0,0,badminton
10,-1,1,0,0,0,badminton
10,1,2,0,0,0,badminton
10,0,2,0,0,0,badminton
8,0,2,0,0,0,badminton
9,-1,2,0,0,0,badminton
10,-3,3,0,0,0,badminton
9,-3,2,0,0,0,badminton
10,-3,2,0,0,0,badminton
13,6,4,0,0,0,badminton
19,2,7,0,0,-399,badminton
19,0,4,-229,381,-329,badminton
19,-7,0,-547,640,0,badminton
12,-5,-2,0,483,0,badminton
10,0,-6,0,0,0,badminton
7,0,-8,0,0,0,badminton
12,-1,-4,0,-239,0,badminton
19,-4,-2,0,-266,0,badminton
19,-9,-1,0,-431,0,badminton
19,-10,-4,0,-628,448,badminton
19,-15,-14,0,-604,469,badminton
19,-19,-13,0,-567,545,badminton
19,-3,-1,272,-203,466,badminton
18,5,2,0,0,391,badminton
11,15,5,0,0,0,badminton
5,19,4,0,0,0,badminton
4,6,3,0,0,-313,badminton
6,-4,0,0,0,-369,badminton
7,-16,1,0,0,-328,badminton
6,-18,-1,0,0,-300,badminton
9,-17,0,0,0,-255,badminton
10,-16,0,0,0,-260,badminton
12,-14,-2,0,0,-294,badminton
10,-14,1,0,0,-229,badminton
9,-8,-1,0,0,-248,badminton
13,-9,2,0,0,-280,badminton
11,-12,6,0,0,0,badminton
8,-8,2,0,0,0,badminton
8,-4,1,0,0,0,badminton
11,-3,2,0,0,0,badminton
9,-1,2,0,0,0,badminton
10,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
9,-1,2,0,0,0,badminton
9,0,1,0,0,0,badminton
8,-3,3,0,0,0,badminton
11,-3,3,0,0,0,badminton
10,-3,2,0,0,0,badminton
8,-3,2,0,0,0,badminton
12,5,8,0,0,0,badminton
15,11,11,0,216,0,badminton
19,10,5,0,170,-449,badminton
19,-7,2,-472,414,-413,badminton
19,-16,-4,-306,759,0,badminton
16,-3,-15,245,139,0,badminton
10,-8,-11,0,-252,0,badminton
19,-5,-16,0,-289,0,badminton
19,-15,-13,0,-446,0,badminton
19,-17,-19,0,-687,215,badminton
19,-19,-19,0,-736,297,badminton
19,-19,-19,0,-630,478,badminton
19,-9,-6,0,-359,460,badminton
19,9,-1,0,-171,359,badminton
18,19,10,0,-138,258,badminton
8,19,9,0,0,0,badminton
5,6,3,0,0,-230,badminton
4,-1,0,0,148,-283,badminton
6,-9,-4,0,157,-331,badminton
6,-14,-5,0,0,-324,badminton
11,-15,1,0,0,-346,badminton
11,-19,4,0,0,-336,badminton
10,-19,1,0,137,-273,badminton
15,-15,0,0,145,-353,badminton
13,-14,2,0,183,-248,badminton
14,-11,2,0,178,-257,badminton
5,-12,4,0,0,0,badminton
8,-7,1,0,0,0,badminton
8,-5,0,0,0,0,badminton
8,-5,1,0,0,0,badminton
8,-3,2,0,0,0,badminton
10,-2,3,0,0,0,badminton
10,-3,4,0,0,0,badminton
9,0,3,0,0,0,badminton
7,-1,5,0,0,0,badminton
9,-2,4,0,0,0,badminton
9,-4,2,0,0,0,badminton
8,-6,3,0,0,0,badminton
8,-4,3,0,0,0,badminton
8,-3,3,0,0,0,badminton
11,8,10,0,0,0,badminton
14,13,4,0,170,0,badminton
19,1,15,0,224,-330,badminton
19,-11,12,0,468,-241,badminton
19,-12,2,0,522,0,badminton
15,-5,-8,0,254,0,badminton
8,-8,-10,0,0,0,badminton
14,-3,-10,0,-155,0,badminton
19,-8,-3,0,-284,0,badminton
19,-15,-2,0,-513,239,badminton
19,-19,0,0,-722,278,badminton
19,-19,-6,0,-708,367,badminton
19,-19,-4,0,-592,476,badminton
19,-8,3,0,-414,438,badminton
19,7,5,0,-282,336,badminton
9,19,19,0,-156,0,badminton
6,13,11,0,166,0,badminton
7,-6,-1,0,223,-282,badminton
5,-12,-5,0,0,-266,badminton
7,-11,-5,0,0,-341,badminton
14,-14,0,0,0,-433,badminton
15,-19,1,0,173,-395,badminton
15,-17,-3,0,260,-303,badminton
15,-15,-2,0,226,-260,badminton
13,-10,-3,0,154,-326,badminton
12,-11,-1,0,0,0,badminton
9,-8,1,0,0,0,badminton
8,-5,1,0,0,0,badminton
11,-1,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
10,-3,4,0,0,0,badminton
11,-2,4,0,0,0,badminton
9,0,2,0,0,0,badminton
8,0,3,0,0,0,badminton
9,0,3,0,0,0,badminton
10,-1,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,2,0,0,0,badminton
10,9,11,0,137,0,badminton
12,15,3,0,0,-210,badminton
19,0,19,0,165,-358,badminton
19,-10,13,0,526,-335,badminton
19,-14,1,0,600,0,badminton
16,-3,-15,0,310,0,badminton
8,-7,-11,0,0,0,badminton
16,-7,-6,268,-263,0,badminton
19,-6,-3,0,-331,213,badminton
19,-15,-4,0,-577,326,badminton
19,-14,-6,0,-420,545,badminton
19,-15,-2,0,-313,550,badminton
19,-19,-4,0,-285,613,badminton
19,-3,2,0,-218,517,badminton
18,19,13,0,0,318,badminton
5,19,6,0,0,0,badminton
3,1,8,0,0,0,badminton
0,-5,0,0,0,-206,badminton
1,-8,2,0,0,-229,badminton
5,-9,-1,0,0,-307,badminton
10,-11,-3,0,0,-365,badminton
15,-17,-3,0,0,-353,badminton
14,-19,-1,0,0,-327,badminton
12,-16,-1,0,0,-284,badminton
13,-11,-1,0,144,-329,badminton
12,-8,-1,0,0,-284,badminton
13,-8,1,0,0,-249,badminton
13,-8,1,0,0,0,badminton
8,-5,0,0,0,0,badminton
9,-4,1,0,0,0,badminton
10,-4,2,0,0,0,badminton
12,0,4,0,0,0,badminton
11,1,4,0,0,0,badminton
10,0,4,0,0,0,badminton
9,0,3,0,0,0,badminton
8,0,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
13,6,10,0,0,0,badminton
19,13,13,0,184,-300,badminton
19,-4,12,-467,466,-255,badminton
19,-7,3,0,554,0,badminton
16,-9,-1,0,313,0,badminton
8,-2,-9,231,0,0,badminton
8,-2,-8,0,0,0,badminton
12,-6,-3,274,-197,0,badminton
19,-10,-2,0,-224,0,badminton
19,-17,-3,0,-434,233,badminton
19,-19,-4,0,-727,495,badminton
19,-19,-11,0,-642,630,badminton
19,-10,-6,0,-408,558,badminton
19,1,0,0,-237,417,badminton
14,19,7,0,0,232,badminton
5,16,6,0,0,0,badminton
6,6,8,0,0,0,badminton
4,-3,-3,0,155,-246,badminton
4,-13,0,0,0,-291,badminton
8,-16,-5,0,0,-281,badminton
