AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_median,label
12.15,4.394343683675232,7,19,12,10.0,-5.075,7.464059182990144,-19,19,38,-4.0,0.55,6.62918953162103,-17,14,31,2.0,18.375,94.3226017724713,-205,321,526,0.0,-39.7,253.40442996957478,-671,570,1241,0.0,-29.125,207.84969760591858,-418,486,904,-1.5,badminton
12.5,4.695879262851852,6,19,13,10.0,-4.575,7.196464587844685,-19,19,38,-2.5,2.525,7.428246505996295,-17,19,36,2.0,1.8,115.27963771540432,-423,257,680,0.0,-62.55,286.99503703383317,-844,575,1419,0.0,-28.75,186.57297328116513,-410,350,760,0.0,badminton
12.225,4.358825412236532,5,19,14,10.5,-4.45,6.916906081738405,-19,17,36,-3.0,2.625,6.863831254276251,-19,18,37,2.0,4.95,118.66975291290639,-399,257,656,0.0,-48.3,294.3172194096459,-859,599,1458,0.0,-8.9,217.07871666925163,-440,573,1013,0.0,badminton
12.25,4.3071199253424615,4,19,15,10.5,-4.3,7.373549401016498,-19,19,38,-3.0,0.85,7.223714507235961,-19,18,37,1.0,5.825,133.11743176994378,-470,306,776,0.0,-44.65,297.6623926531533,-1224,598,1822,0.0,-20.3,208.05573710808778,-482,445,927,-0.5,badminton
12.05,4.53448326290201,4,19,15,10.0,-5.05,7.818288880927913,-19,11,30,-3.0,2.175,6.640541760413444,-19,19,38,2.0,3.6,103.91781762774283,-217,374,591,0.0,-56.15,317.1535703401227,-1307,691,1998,0.0,-29.75,216.29191456846533,-511,421,932,6.0,badminton
11.8,4.333530567503497,3,19,16,9.5,-3.575,7.672419803492613,-19,19,38,-1.0,1.05,5.89197629114244,-19,16,35,1.0,34.35,104.75895408765048,-267,330,597,0.0,-98.6,253.43757639348811,-1031,148,1179,0.0,-42.075,217.97122692968162,-458,487,945,0.0,badminton
11.3,4.54154610519821,4,19,15,10.0,-5.275,7.250066312694081,-19,11,30,-4.0,1.625,6.9085138852407395,-19,15,34,2.0,31.375,102.74032177265515,-228,334,562,32.5,-59.375,325.44129310278106,-1341,581,1922,0.0,-40.5,183.44551346450643,-471,394,865,-1.5,badminton
11.55,5.353886678302275,0,19,19,10.0,-3.65,6.970818294311487,-19,9,28,-2.0,1.25,7.641821503897869,-19,19,38,2.0,20.25,124.37201226922976,-246,328,574,0.0,-57.575,324.08608285849624,-1089,785,1874,0.0,-29.625,205.73728424426412,-407,414,821,-14.0,badminton
12.525,4.919805603831027,5,19,14,10.5,-4.525,7.211058103659891,-19,8,27,-2.0,2.0,7.6460145475625705,-19,19,38,2.5,26.4,104.88939229199785,-233,219,452,12.5,-61.675,329.80432329893233,-1022,710,1732,-16.5,-25.925,186.488383841172,-488,300,788,0.0,badminton
10.875,4.552753463846258,2,19,17,10.0,-4.65,6.057629222300734,-19,7,26,-3.0,2.75,6.455965239953448,-15,19,34,2.0,19.575,87.29463445784171,-240,203,443,0.0,-54.8,276.3376047425898,-1026,595,1621,0.0,-28.125,152.0297183329965,-360,296,656,-6.0,badminton
